file,line,pattern,imagePath,context
"image-inventory.json",329,"path","frontend/public/icons/brand_갤럭시라이프스타일.webp","""relative_path"": ""frontend/public/icons/brand_갤럭시라이프스타일.webp"","
"image-inventory.json",337,"path","frontend/public/icons/brand_구호플러스.webp","""path"": ""frontend/public/icons/brand_구호플러스.webp"","
"image-inventory.json",338,"path","frontend/public/icons/brand_구호플러스.webp","""relative_path"": ""frontend/public/icons/brand_구호플러스.webp"","
"image-inventory.json",346,"path","frontend/public/icons/brand_단톤.webp","""path"": ""frontend/public/icons/brand_단톤.webp"","
"image-inventory.json",347,"path","frontend/public/icons/brand_단톤.webp","""relative_path"": ""frontend/public/icons/brand_단톤.webp"","
"image-inventory.json",355,"path","frontend/public/icons/brand_르메르.webp","""path"": ""frontend/public/icons/brand_르메르.webp"","
"image-inventory.json",356,"path","frontend/public/icons/brand_르메르.webp","""relative_path"": ""frontend/public/icons/brand_르메르.webp"","
"image-inventory.json",364,"path","frontend/public/icons/brand_르베이지.webp","""path"": ""frontend/public/icons/brand_르베이지.webp"","
"image-inventory.json",365,"path","frontend/public/icons/brand_르베이지.webp","""relative_path"": ""frontend/public/icons/brand_르베이지.webp"","
"image-inventory.json",373,"path","frontend/public/icons/brand_아미.webp","""path"": ""frontend/public/icons/brand_아미.webp"","
"image-inventory.json",374,"path","frontend/public/icons/brand_아미.webp","""relative_path"": ""frontend/public/icons/brand_아미.webp"","
"image-inventory.json",382,"path","frontend/public/icons/brand_알투더블유.webp","""path"": ""frontend/public/icons/brand_알투더블유.webp"","
"image-inventory.json",383,"path","frontend/public/icons/brand_알투더블유.webp","""relative_path"": ""frontend/public/icons/brand_알투더블유.webp"","
"image-inventory.json",391,"path","frontend/public/icons/brand_울랄라.webp","""path"": ""frontend/public/icons/brand_울랄라.webp"","
"image-inventory.json",392,"path","frontend/public/icons/brand_울랄라.webp","""relative_path"": ""frontend/public/icons/brand_울랄라.webp"","
"image-inventory.json",400,"path","frontend/public/icons/brand_준지.webp","""path"": ""frontend/public/icons/brand_준지.webp"","
"image-inventory.json",401,"path","frontend/public/icons/brand_준지.webp","""relative_path"": ""frontend/public/icons/brand_준지.webp"","
"image-inventory.json",409,"path","frontend/public/icons/brand_코스.webp","""path"": ""frontend/public/icons/brand_코스.webp"","
"image-inventory.json",410,"path","frontend/public/icons/brand_코스.webp","""relative_path"": ""frontend/public/icons/brand_코스.webp"","
"image-inventory.json",418,"path","frontend/public/icons/brand_타미힐피거.webp","""path"": ""frontend/public/icons/brand_타미힐피거.webp"","
"image-inventory.json",419,"path","frontend/public/icons/brand_타미힐피거.webp","""relative_path"": ""frontend/public/icons/brand_타미힐피거.webp"","
"image-inventory.json",427,"path","frontend/public/icons/brand_토리버치.webp","""path"": ""frontend/public/icons/brand_토리버치.webp"","
"image-inventory.json",428,"path","frontend/public/icons/brand_토리버치.webp","""relative_path"": ""frontend/public/icons/brand_토리버치.webp"","
"image-inventory.json",436,"path","frontend/public/icons/brand_핏플랍.webp","""path"": ""frontend/public/icons/brand_핏플랍.webp"","
"image-inventory.json",437,"path","frontend/public/icons/brand_핏플랍.webp","""relative_path"": ""frontend/public/icons/brand_핏플랍.webp"","
"image-inventory.json",445,"path","frontend/public/icons/google.svg","""path"": ""frontend/public/icons/google.svg"","
"image-inventory.json",446,"path","frontend/public/icons/google.svg","""relative_path"": ""frontend/public/icons/google.svg"","
"image-inventory.json",454,"path","frontend/public/icons/kakao.webp","""path"": ""frontend/public/icons/kakao.webp"","
"image-inventory.json",455,"path","frontend/public/icons/kakao.webp","""relative_path"": ""frontend/public/icons/kakao.webp"","
"image-inventory.json",463,"path","frontend/public/icons/kakaopay.webp","""path"": ""frontend/public/icons/kakaopay.webp"","
"image-inventory.json",464,"path","frontend/public/icons/kakaopay.webp","""relative_path"": ""frontend/public/icons/kakaopay.webp"","
"image-inventory.json",472,"path","frontend/public/icons/main1.webp","""path"": ""frontend/public/icons/main1.webp"","
"image-inventory.json",473,"path","frontend/public/icons/main1.webp","""relative_path"": ""frontend/public/icons/main1.webp"","
"image-inventory.json",481,"path","frontend/public/icons/main2.webp","""path"": ""frontend/public/icons/main2.webp"","
"image-inventory.json",482,"path","frontend/public/icons/main2.webp","""relative_path"": ""frontend/public/icons/main2.webp"","
"image-inventory.json",490,"path","frontend/public/icons/main3.webp","""path"": ""frontend/public/icons/main3.webp"","
"image-inventory.json",491,"path","frontend/public/icons/main3.webp","""relative_path"": ""frontend/public/icons/main3.webp"","
"image-inventory.json",499,"path","frontend/public/icons/main4.webp","""path"": ""frontend/public/icons/main4.webp"","
"image-inventory.json",500,"path","frontend/public/icons/main4.webp","""relative_path"": ""frontend/public/icons/main4.webp"","
"image-inventory.json",508,"path","frontend/public/icons/main5.webp","""path"": ""frontend/public/icons/main5.webp"","
"image-inventory.json",509,"path","frontend/public/icons/main5.webp","""relative_path"": ""frontend/public/icons/main5.webp"","
"image-inventory.json",517,"path","frontend/public/icons/main6.webp","""path"": ""frontend/public/icons/main6.webp"","
